adiposity	sequence_id	protein	gene	group	b_adiposity_protein	cancer	OR_protein_cancer
BMI	13587_10	RGAP1	RACGAP1	Sex-combined	0.131698298065341	rectal	1.14763077736822
BMI	13950_9	C43BP	COL4A3BP	Sex-combined	0.111505050520415	distal	1.20618496370949
BMI	13992_12	NSF	NSF	Sex-combined	0.111602283217481	colon	1.06228249908341
BMI	16536_3	HMGA1	HMGA1	Sex-combined	0.124727556186676	proximal	1.24178408265045
BMI	17329_2	BDH2	BDH2	Sex-combined	0.154239031141479	distal	1.07899890715821
BMI	17706_4	PPR1A	PPP1R1A	Sex-combined	0.354998562032235	proximal	1.25838453221417
BMI	17805_35	SPF30	SMNDC1	Sex-combined	0.129937478265758	distal	1.34288720701782
BMI	18267_74	CAR17	CARD17	Sex-combined	0.124340239856649	overall	1.03027825193193
BMI	18339_207	PSB3	PSMB3	Sex-combined	0.213475636312273	proximal	1.30709082620813
BMI	18382_109	Catechol_O_methyltransferase	COMT	Sex-combined	0.128191392119269	distal	1.4425009619595
BMI	18387_7	suppression_of_tumorigenicity_13	ST13	Sex-combined	0.111635457517417	colon	1.35236701868293
BMI	18387_7	suppression_of_tumorigenicity_13	ST13	Sex-combined	0.111635457517417	proximal	1.36255670674399
BMI	18398_1	AK1D1	AKR1D1	Sex-combined	0.273415264536438	distal	1.33693236208782
BMI	18878_15	GREM1	GREM1	Sex-combined	0.111427257219152	overall	1.21336899543484
BMI	18878_15	GREM1	GREM1	Sex-combined	0.111427257219152	overall-HRC-EUR	1.22450515519015
BMI	18878_15	GREM1	GREM1	Sex-combined	0.111427257219152	colon	1.20966652051317
BMI	18878_15	GREM1	GREM1	Sex-combined	0.111427257219152	distal	1.18491482571082
BMI	18878_15	GREM1	GREM1	Sex-combined	0.111427257219152	proximal	1.23690827404555
BMI	18878_15	GREM1	GREM1	Sex-combined	0.111427257219152	rectal	1.31212523801781
BMI	19123_6	IKBD	NFKBID	Sex-combined	0.114923310525021	colon	1.08580019130184
BMI	19260_4	GIPC1	GIPC1	Sex-combined	0.114189740529024	overall	1.29354718933985
BMI	19260_4	GIPC1	GIPC1	Sex-combined	0.114189740529024	overall-HRC-EUR	1.28319764541336
BMI	19260_4	GIPC1	GIPC1	Sex-combined	0.114189740529024	proximal	1.74873075646583
BMI	19280_29	UB2D3	UBE2D3	Sex-combined	0.16508884223787	colon	1.08274103045827
BMI	19376_74	NNMT	NNMT	Sex-combined	0.115074204511564	proximal	1.13332133324848
BMI	2597_8	VEGF	VEGFA	Sex-combined	0.175346972107957	distal	1.0731905960951
BMI	2683_1	iC3b	C3	Sex-combined	0.19091817420738	rectal	1.14724108097725
BMI	2731_29	NADPH_P450_Oxidoreductase	POR	Sex-combined	0.148907633095064	rectal	1.16133627113626
BMI	3005_5	PTP_1B	PTPN1	Sex-combined	0.116813549850758	distal	1.01351622939674
BMI	3005_5	PTP_1B	PTPN1	Sex-combined	0.116813549850758	proximal	1.1413695488581
BMI	4960_72	annexin_I	ANXA1	Sex-combined	0.142024393622046	proximal	1.16763612610541
BMI	5339_49	calgranulin_B	S100A9	Sex-combined	0.223561005695234	overall	1.1891185281519
BMI	5339_49	calgranulin_B	S100A9	Sex-combined	0.223561005695234	overall-HRC-EUR	1.2058239388968
BMI	5339_49	calgranulin_B	S100A9	Sex-combined	0.223561005695234	rectal	1.29862186718971
BMI	5484_63	RS3A	RPS3A	Sex-combined	0.176055306516985	distal	1.11541507476263
BMI	5490_53	Testican_1	SPOCK1	Sex-combined	0.115460555320883	colon	1.07148976086833
BMI	5590_11	ZPLD1	ZPLD1	Sex-combined	0.139506092144212	overall	1.02273456904097
BMI	5599_88	PCYXL	PCYOX1L	Sex-combined	0.146119734103615	overall	1.22354930327099
BMI	5599_88	PCYXL	PCYOX1L	Sex-combined	0.146119734103615	overall-HRC-EUR	1.22317996949007
BMI	5822_22	GDNF	GDNF	Sex-combined	0.129451456548225	proximal	1.49773954277312
BMI	6276_16	Furin	FURIN	Sex-combined	0.227982360845836	proximal	1.20019338742837
BMI	6441_62	ATS6	ADAMTS6	Sex-combined	0.113905536086165	overall	1.08175289896098
BMI	6441_62	ATS6	ADAMTS6	Sex-combined	0.113905536086165	overall-HRC-EUR	1.04852590732928
BMI	6441_62	ATS6	ADAMTS6	Sex-combined	0.113905536086165	proximal	1.29381018919674
BMI	6520_87	MGP	MGP	Sex-combined	0.137394670562095	overall	1.09216719000105
BMI	7069_9	TSNA1	TSNARE1	Sex-combined	0.148843469642904	proximal	1.25908730830384
BMI	7090_17	GALT1	GALNT1	Sex-combined	0.20367112692306	proximal	1.25389336160219
BMI	7147_35	WFDC8	WFDC8	Sex-combined	0.179381063427857	distal	1.032102795354
BMI	7785_1	Ephrin_B3	EFNB3	Sex-combined	0.110266009109957	proximal	1.0794233787593
BMI	7886_26	SPTC1	SPTLC1	Sex-combined	0.169654041331838	overall	1.17129022777512
BMI	7886_26	SPTC1	SPTLC1	Sex-combined	0.169654041331838	overall-HRC-EUR	1.18554027624076
BMI	7886_26	SPTC1	SPTLC1	Sex-combined	0.169654041331838	colon	1.17222189096885
BMI	8372_29	CDHR1	CDHR1	Sex-combined	0.109312647375578	proximal	1.04312910425227
BMI	8589_13	CDCP1	CDCP1	Sex-combined	0.133670881024424	distal	1.04097005124303
BMI	8758_2	PCDA7	PCDHA7	Sex-combined	0.125648801638646	proximal	1.06447559624317
BMI	8838_10	CASC4	CASC4	Sex-combined	0.126527072930429	overall	1.25372986456808
BMI	8838_10	CASC4	CASC4	Sex-combined	0.126527072930429	overall-HRC-EUR	1.2558077612474
BMI	8838_10	CASC4	CASC4	Sex-combined	0.126527072930429	colon	1.24288215361373
BMI	8838_10	CASC4	CASC4	Sex-combined	0.126527072930429	rectal	1.24091771670589
BMI	9834_62	ADH1B	ADH1B	Sex-combined	0.13831675946	overall	1.09975714702717
BMI	9834_62	ADH1B	ADH1B	Sex-combined	0.13831675946	overall-HRC-EUR	1.09825588238141
WHR	11126_102	TRIO	TRIO	Sex-combined	0.163783370184797	colon	1.15470761540193
WHR	11573_3	SRSF6	SRSF6	Sex-combined	0.175706460507255	overall-HRC-EUR	1.34464587111967
WHR	11573_3	SRSF6	SRSF6	Sex-combined	0.175706460507255	proximal	1.36351913845823
WHR	12743_18	BAG5	BAG5	Sex-combined	0.181944476309737	colon	1.06734906538567
WHR	12743_18	BAG5	BAG5	Sex-combined	0.181944476309737	proximal	1.17574916078822
WHR	12842_43	STX10	STX10	Sex-combined	0.131407938411163	proximal	1.16277135669435
WHR	12892_10	SYTL1	SYTL1	Sex-combined	0.175571345044162	overall	1.02602721812567
WHR	13468_5	NEUL4	NEURL4	Sex-combined	0.175185716124186	proximal	1.11304021944253
WHR	13481_24	TCEA2	TCEA2	Sex-combined	0.150014604932583	proximal	1.05892649988157
WHR	13509_5	SCAM5	SCAMP5	Sex-combined	0.161392016715593	overall	1.02418346759767
WHR	13561_5	5HT6R	HTR6	Sex-combined	0.174089746313583	overall	1.01306051459247
WHR	17329_2	BDH2	BDH2	Sex-combined	0.174912834998119	distal	1.07899890715821
WHR	18267_74	CAR17	CARD17	Sex-combined	0.14282007401321	overall	1.03027825193193
WHR	18339_207	PSB3	PSMB3	Sex-combined	0.188175927301778	proximal	1.30709082620813
WHR	18398_1	AK1D1	AKR1D1	Sex-combined	0.302356972712705	distal	1.33693236208782
WHR	19123_6	IKBD	NFKBID	Sex-combined	0.185356863800613	colon	1.08580019130184
WHR	19280_29	UB2D3	UBE2D3	Sex-combined	0.225062485561242	colon	1.08274103045827
WHR	2731_29	NADPH_P450_Oxidoreductase	POR	Sex-combined	0.156881638037571	rectal	1.16133627113626
WHR	5339_49	calgranulin_B	S100A9	Sex-combined	0.18333200593442	overall	1.1891185281519
WHR	5339_49	calgranulin_B	S100A9	Sex-combined	0.18333200593442	overall-HRC-EUR	1.2058239388968
WHR	5339_49	calgranulin_B	S100A9	Sex-combined	0.18333200593442	rectal	1.29862186718971
WHR	5484_63	RS3A	RPS3A	Sex-combined	0.15285285365379	distal	1.11541507476263
WHR	5490_53	Testican_1	SPOCK1	Sex-combined	0.144312220388016	colon	1.07148976086833
WHR	6521_35	NPTX2	NPTX2	Sex-combined	0.271524224883017	colon	1.09293773444415
WHR	6572_10	LRRT4	LRRTM4	Sex-combined	0.148596900119314	colon	1.03561546276752
WHR	7090_17	GALT1	GALNT1	Sex-combined	0.199623695587916	proximal	1.25389336160219
WHR	7147_35	WFDC8	WFDC8	Sex-combined	0.172881269768632	distal	1.032102795354
WHR	7785_1	Ephrin_B3	EFNB3	Sex-combined	0.153543514845825	proximal	1.0794233787593
WHR	7886_26	SPTC1	SPTLC1	Sex-combined	0.175816116566059	overall	1.17129022777512
WHR	7886_26	SPTC1	SPTLC1	Sex-combined	0.175816116566059	overall-HRC-EUR	1.18554027624076
WHR	7886_26	SPTC1	SPTLC1	Sex-combined	0.175816116566059	colon	1.17222189096885
WHR	8357_43	ST4A1	SULT4A1	Sex-combined	0.145605823457222	colon	1.17315617227092
WHR	8589_13	CDCP1	CDCP1	Sex-combined	0.164086418559293	distal	1.04097005124303
WHR	9095_5	MTFR1	MTFR1	Sex-combined	0.129861532230221	overall	1.02331774508601
WHR	9095_5	MTFR1	MTFR1	Sex-combined	0.129861532230221	overall-HRC-EUR	1.03155303745315
WHR	9834_62	ADH1B	ADH1B	Sex-combined	0.152454333829533	overall	1.09975714702717
WHR	9834_62	ADH1B	ADH1B	Sex-combined	0.152454333829533	overall-HRC-EUR	1.09825588238141
